Price,Year,Km,Fuel,Seller,Transmission,PreviousOwner
0.5992844364937389,2014,27000,Petrol,Dealer,Manual,0
0.4979035639412998,2013,43000,Diesel,Dealer,Manual,0
0.7360406091370558,2017,6900,Petrol,Dealer,Manual,0
0.6867469879518072,2011,5200,Petrol,Dealer,Manual,0
0.6695778748180494,2014,42450,Diesel,Dealer,Manual,0
0.940996948118006,2018,2071,Diesel,Dealer,Manual,0
0.83128078817734,2015,18796,Petrol,Dealer,Manual,0
0.7549361207897793,2015,33429,Diesel,Dealer,Manual,0
0.9842519685039369,2016,20273,Diesel,Dealer,Manual,0
0.8352017937219731,2015,42367,Diesel,Dealer,Manual,0
0.7916666666666666,2017,2135,Petrol,Dealer,Manual,0
0.6599229287090558,2015,51000,Diesel,Dealer,Manual,0
0.7545271629778673,2015,15000,Petrol,Dealer,Automatic,0
0.7911802853437094,2015,26000,Petrol,Dealer,Manual,0
0.31206657420249656,2009,77427,Petrol,Dealer,Manual,0
0.7182576459684894,2016,43000,Diesel,Dealer,Manual,0
0.6719184430027804,2015,41678,Diesel,Dealer,Manual,0
0.7182576459684894,2016,43000,Diesel,Dealer,Manual,0
0.6385068762278978,2015,35500,CNG,Dealer,Manual,0
0.3320802005012531,2010,41442,Petrol,Dealer,Manual,0
0.7215189873417721,2016,25000,Petrol,Dealer,Manual,0
0.8581436077057794,2017,2400,Petrol,Dealer,Manual,0
0.5493133583021224,2011,50000,Petrol,Dealer,Automatic,0
0.7225433526011561,2014,45280,Petrol,Dealer,Manual,0
0.6575963718820861,2013,56879,Petrol,Dealer,Manual,0
0.6012024048096192,2011,20000,Petrol,Dealer,Manual,0
0.706984667802385,2013,55138,Petrol,Dealer,Manual,0
0.9244992295839753,2017,16200,Petrol,Individual,Manual,0
0.49367088607594933,2010,44542,Petrol,Dealer,Manual,0
0.7177263969171483,2015,45000,Diesel,Dealer,Manual,0
0.5183946488294314,2012,51439,Diesel,Dealer,Manual,0
0.4805725971370144,2011,54200,Petrol,Dealer,Manual,0
0.6608811748998665,2014,39000,Diesel,Dealer,Manual,0
0.6030150753768845,2014,45000,Diesel,Dealer,Manual,0
0.6823821339950372,2014,45000,Diesel,Dealer,Manual,0
0.38113695090439276,2011,49998,CNG,Dealer,Manual,0
0.6458333333333334,2015,48767,Petrol,Dealer,Manual,0
0.15350877192982457,2003,127000,Petrol,Individual,Manual,0
0.797872340425532,2016,10079,Petrol,Dealer,Manual,0
0.2819548872180451,2003,62000,Petrol,Dealer,Manual,0
0.7433290978398983,2016,24524,Petrol,Dealer,Automatic,0
0.6407035175879396,2014,46706,Petrol,Dealer,Manual,0
0.2727272727272727,2008,58000,Petrol,Dealer,Manual,0
0.6823821339950372,2014,45780,Diesel,Dealer,Manual,0
0.4646840148698885,2012,50000,Petrol,Dealer,Manual,0
0.6229235880398671,2014,15000,Petrol,Dealer,Automatic,0
0.5419222903885481,2013,64532,Petrol,Dealer,Manual,0
0.25301204819277107,2006,65000,Petrol,Dealer,Manual,0
0.7522697795071336,2015,25870,Petrol,Dealer,Manual,0
0.8342303552206675,2017,37000,Petrol,Dealer,Automatic,0
0.4867690297288468,2012,104707,Diesel,Dealer,Automatic,0
0.7513884351519111,2015,40000,Diesel,Dealer,Automatic,0
0.9104704097116844,2017,15000,Diesel,Dealer,Automatic,0
0.5227049983665469,2013,135000,Diesel,Individual,Automatic,0
0.2693437806072478,2005,90000,Petrol,Individual,Manual,0
0.2393617021276596,2009,70000,Petrol,Dealer,Automatic,0
0.6189821182943605,2015,40534,Petrol,Dealer,Manual,0
0.2562028047464941,2010,50000,Petrol,Dealer,Manual,0
0.6029411764705882,2014,39485,Petrol,Dealer,Manual,1
0.5558954393770856,2014,41000,Diesel,Dealer,Automatic,0
0.3734551316496508,2013,40001,Petrol,Dealer,Manual,0
0.5844155844155844,2015,40588,Petrol,Dealer,Manual,0
0.521412680756396,2014,78000,Diesel,Dealer,Automatic,0
0.6535038932146829,2015,47000,Diesel,Dealer,Automatic,0
0.9108473640629313,2017,6000,Diesel,Dealer,Automatic,0
0.6834532374100719,2014,45000,Diesel,Dealer,Manual,0
0.8531317494600432,2017,11000,Petrol,Dealer,Automatic,0
0.4523227383863081,2010,59000,Diesel,Dealer,Manual,0
0.31659388646288206,2011,88000,Petrol,Dealer,Manual,0
0.6814921090387375,2016,12000,Petrol,Dealer,Manual,0
0.584319526627219,2014,71000,Diesel,Dealer,Manual,0
0.3605769230769231,2011,45000,Diesel,Dealer,Manual,0
0.400322407307899,2013,56001,Petrol,Dealer,Manual,0
0.46409807355516636,2011,43000,Petrol,Dealer,Manual,0
0.5487122060470325,2014,83000,Diesel,Dealer,Manual,0
0.5808823529411765,2015,36000,Petrol,Dealer,Manual,0
0.3746594005449591,2013,72000,Petrol,Dealer,Manual,0
0.12145748987854252,2004,135154,Petrol,Dealer,Automatic,0
0.2299605781865966,2010,80000,Petrol,Dealer,Automatic,0
0.47370140476968314,2012,89000,Diesel,Dealer,Automatic,0
0.9892545332437878,2016,23000,Diesel,Dealer,Manual,0
0.6050955414012739,2015,40000,Diesel,Dealer,Manual,0
0.9058684521465143,2017,15000,Diesel,Dealer,Automatic,0
0.9286775631500742,2015,38000,Diesel,Dealer,Manual,0
0.25928677563150077,2005,197176,Diesel,Dealer,Manual,0
0.10535187526337969,2006,142000,Petrol,Individual,Automatic,3
0.3779697624190065,2010,78000,Diesel,Dealer,Manual,0
0.42940320232896656,2012,56000,Petrol,Dealer,Manual,0
0.5702479338842976,2013,47000,Petrol,Dealer,Manual,0
0.7026627218934911,2014,40000,Petrol,Dealer,Manual,0
